Date;FlowCode;ProductCode;LocationCode;Volume
19/10/2012;6;6;1;7026
26/10/2012;6;6;1;7232
02/11/2012;6;6;1;6335
09/11/2012;6;6;1;6566
16/11/2012;6;6;1;6935
23/11/2012;6;6;1;6304
30/11/2012;6;6;1;6854
07/12/2012;6;6;1;7145
14/12/2012;6;6;1;7022
21/12/2012;6;6;1;7088
28/12/2012;6;6;1;7038
04/01/2013;6;6;1;7258
11/01/2013;6;6;1;7657
18/01/2013;6;6;1;7269
25/01/2013;6;6;1;7430
01/02/2013;6;6;1;7134
08/02/2013;6;6;1;7054
15/02/2013;6;6;1;7119
22/02/2013;6;6;1;7027
01/03/2013;6;6;1;7200
08/03/2013;6;6;1;6425
15/03/2013;6;6;1;6339
22/03/2013;6;6;1;5997
29/03/2013;6;6;1;6166
05/04/2013;6;6;1;6034
12/04/2013;6;6;1;6002
19/04/2013;6;6;1;5935
26/04/2013;6;6;1;5597
03/05/2013;6;6;1;5677
10/05/2013;6;6;1;5514
17/05/2013;6;6;1;5439
24/05/2013;6;6;1;5611
31/05/2013;6;6;1;5647
07/06/2013;6;6;1;5903
14/06/2013;6;6;1;5917
21/06/2013;6;6;1;5972
28/06/2013;6;6;1;5833
05/07/2013;6;6;1;5879
12/07/2013;6;6;1;6667
19/07/2013;6;6;1;6748
26/07/2013;6;6;1;6223
02/08/2013;6;6;1;6162
09/08/2013;6;6;1;6024
16/08/2013;6;6;1;6223
23/08/2013;6;6;1;6212
30/08/2013;6;6;1;6205
06/09/2013;6;6;1;6132
13/09/2013;6;6;1;5815
20/09/2013;6;6;1;5345
27/09/2013;6;6;1;5337
04/10/2013;6;6;1;5074
11/10/2013;6;6;1;5041
18/10/2013;6;6;1;5155
25/10/2013;6;6;1;4888
01/11/2013;6;6;1;5166
08/11/2013;6;6;1;4934
15/11/2013;6;6;1;5072
22/11/2013;6;6;1;4950
29/11/2013;6;6;1;4755
06/12/2013;6;6;1;4937
13/12/2013;6;6;1;5095
20/12/2013;6;6;1;5009
